Dataset,time
hardware, 9023030
hardware, 2110969
hardware, 10977419
hardware, 748608
hardware, 1339308
hardware, 3415668
hardware, 4333472
hardware, 5349143
hardware, 5523473
hardware, 5750162
hardware, 2176589
hardware, 2349403
hardware, 2354806
hardware, 186428
hardware, 186444
hardware, 1472725
hardware, 958800
hardware, 58
hardware, 1273707
hardware, 2611875
hardware, 165
hardware, 16680
hardware, 896420
hardware, 401
hardware, 1973606
hardware, 2480420
hardware, 2773495
hardware, 672680
hardware, 1956019
hardware, 2821096
hardware, 872833
hardware, 2206541
hardware, 7221
hardware, 525894
hardware, 6635094
hardware, 13438375
hardware, 13438675
hardware, 13476654
hardware, 13678674
hardware, 13721454
hardware, 13780375
hardware, 53814
hardware, 223086
hardware, 520576
hardware, 748794
hardware, 1115649
hardware, 1295972
hardware, 1343275
hardware, 1374588
hardware, 1807469
hardware, 1867107
hardware, 2557395
hardware, 4399097
hardware, 4481937
hardware, 4570658
hardware, 4658918
hardware, 6185990
hardware, 6306533
hardware, 6648001
hardware, 7169153
hardware, 9319236
hardware, 3021561
hardware, 8114598
hardware, 8284511
hardware, 8289360
hardware, 9675545
hardware, 9757522
hardware, 10092979
hardware, 9297343
hardware, 9811892
hardware, 3747024
hardware, 5425449
hardware, 5511719
hardware, 5565070
hardware, 6012035
hardware, 9647856
hardware, 10182700
hardware, 10698006
hardware, 10769209
hardware, 10854233
hardware, 13859645
hardware, 14041875
hardware, 2418008
hardware, 57
hardware, 129
hardware, 816
hardware, 995
hardware, 565784
hardware, 1960954
hardware, 3597
hardware, 10799
hardware, 14408
hardware, 43213
hardware, 4661597
hardware, 4705209
hardware, 4733997
hardware, 9355981
hardware, 9355993
hardware, 342004
hardware, 109
hardware, 626914
hardware, 1371602
hardware, 107998
hardware, 6501562
hardware, 7696766
hardware, 17027956
hardware, 27
hardware, 87823
hardware, 120525
hardware, 195829
hardware, 199727
hardware, 293331
hardware, 361743
hardware, 545343
hardware, 4494582
hardware, 4851002
hardware, 12809328
hardware, 301
hardware, 5122799
hardware, 9276300
hardware, 9279901
hardware, 9283500
hardware, 6206389
hardware, 8283597
hardware, 7143917
hardware, 418188
hardware, 171911
hardware, 344061
hardware, 1826105
hardware, 3
hardware, 12888004
hardware, 304242
hardware, 313921
hardware, 185930
hardware, 202006
hardware, 17960
hardware, 266258
hardware, 1743652
hardware, 2957353
hardware, 2957410
hardware, 1909140
hardware, 2597975
hardware, 4881943
hardware, 8642093
hardware, 2195986
hardware, 7650061
hardware, 1394489
hardware, 427507
hardware, 507306
hardware, 597102
hardware, 400272
hardware, 6933
hardware, 430723
hardware, 9072002
hardware, 140388
hardware, 356389
hardware, 370799
hardware, 7179534
hardware, 335973
hardware, 349204
hardware, 3343783
hardware, 5784439
hardware, 1039705
hardware, 3823539
hardware, 6484564
hardware, 8462880
hardware, 13831437
hardware, 1073717
hardware, 1077344
hardware, 1091857
hardware, 1138988
hardware, 1723165
hardware, 1955365
hardware, 1955366
hardware, 1998931
hardware, 2002563
hardware, 2445523
hardware, 2449149
hardware, 2449150
hardware, 62604
hardware, 926166
hardware, 1013140
hardware, 1370968
hardware, 6030513
hardware, 6303130
hardware, 604479
hardware, 1507
hardware, 526732
hardware, 598991
hardware, 5070368
hardware, 5538153
hardware, 349765
hardware, 955749
hardware, 847513
hardware, 884868
hardware, 954259
hardware, 971615
hardware, 1069136
hardware, 1797230
hardware, 351481
hardware, 284042
hardware, 1377
hardware, 2824627
hardware, 16525
hardware, 649518
hardware, 1402865
hardware, 5207992
hardware, 9473625
hardware, 12168635
hardware, 463492
hardware, 526706
hardware, 1406139
hardware, 1421011
hardware, 1472902
hardware, 1561918
hardware, 5026419
hardware, 7698044
hardware, 10094458
hardware, 11649601
hardware, 9332467
hardware, 14692855
hardware, 25205
hardware, 28815
hardware, 28818
hardware, 50410
hardware, 4720029
hardware, 9356412
hardware, 822349
hardware, 1387685
hardware, 2539815
hardware, 3267711
hardware, 7874008
hardware, 10465365
hardware, 8920917
hardware, 198116
hardware, 2281866
hardware, 3814885
hardware, 73695
hardware, 11
hardware, 8829
hardware, 3380166
hardware, 4675498
hardware, 14683
hardware, 18000
hardware, 651600
hardware, 4590892
hardware, 4869071
hardware, 1209604
hardware, 7927186
hardware, 79743
hardware, 79748
hardware, 79752
hardware, 79757
hardware, 79758
hardware, 79760
hardware, 79762
hardware, 79764
hardware, 63
hardware, 864001
hardware, 1641600
hardware, 3195001
hardware, 3615930
hardware, 1814400
hardware, 10635801
hardware, 4172734
hardware, 272510
hardware, 1378675
hardware, 2084433
hardware, 2246410
hardware, 3374354
hardware, 507205
hardware, 654823
hardware, 3639721
hardware, 3821579
hardware, 242075
hardware, 1379106
hardware, 123212
hardware, 6780638
hardware, 2294719
hardware, 6046857
hardware, 7455561
hardware, 3320509
hardware, 947651
hardware, 347982
hardware, 3494277
hardware, 3494283
hardware, 4399324
hardware, 3616
hardware, 10847
hardware, 28210
hardware, 87289
hardware, 90906
hardware, 105375
hardware, 108992
hardware, 123695
hardware, 4
hardware, 935363
hardware, 1118635
hardware, 1361672
hardware, 2326836
hardware, 86398
hardware, 18064
hardware, 701809
hardware, 270100
hardware, 554477
hardware, 824465
hardware, 1008118
hardware, 1188119
hardware, 1144699
hardware, 4201722
smartmobility, 71091
smartmobility, 4413921
smartmobility, 14048
smartmobility, 107161
smartmobility, 6810304
smartmobility, 168000
smartmobility, 2371439
smartmobility, 4095119
smartmobility, 7187519
smartmobility, 63895
smartmobility, 84699
smartmobility, 149459
smartmobility, 195822
smartmobility, 212248
smartmobility, 247552
smartmobility, 317497
smartmobility, 351246
smartmobility, 357558
smartmobility, 368804
smartmobility, 386301
smartmobility, 396127
smartmobility, 470190
smartmobility, 489707
smartmobility, 517740
smartmobility, 535523
smartmobility, 672337
smartmobility, 730727
smartmobility, 782060
smartmobility, 792708
smartmobility, 813735
smartmobility, 844151
smartmobility, 877769
smartmobility, 913339
smartmobility, 946789
smartmobility, 993516
smartmobility, 999471
smartmobility, 1006154
smartmobility, 1023379
smartmobility, 1090203
smartmobility, 1132182
smartmobility, 1163993
smartmobility, 1200569
smartmobility, 1231607
smartmobility, 1277203
smartmobility, 1306035
smartmobility, 1311800
smartmobility, 1401672
smartmobility, 1450156
smartmobility, 1502314
smartmobility, 1561105
smartmobility, 1580932
smartmobility, 1602418
smartmobility, 1637459
smartmobility, 1666865
smartmobility, 1715909
smartmobility, 1785244
smartmobility, 1818738
smartmobility, 1868454
smartmobility, 1951884
smartmobility, 1992719
smartmobility, 2012005
smartmobility, 2028633
smartmobility, 2072477
smartmobility, 2096062
smartmobility, 2150732
smartmobility, 2281261
smartmobility, 2289115
smartmobility, 2362544
smartmobility, 2428061
smartmobility, 2511554
smartmobility, 2522557
smartmobility, 2549515
smartmobility, 2559337
smartmobility, 2604933
smartmobility, 2618379
smartmobility, 2648325
smartmobility, 2662941
smartmobility, 2733732
smartmobility, 2781878
smartmobility, 2888998
smartmobility, 2896355
smartmobility, 2927934
smartmobility, 3067104
smartmobility, 3102803
smartmobility, 3115716
smartmobility, 3314437
smartmobility, 3347076
smartmobility, 3349219
smartmobility, 3399904
smartmobility, 3428350
smartmobility, 3513882
smartmobility, 3547244
smartmobility, 3572534
smartmobility, 3594575
smartmobility, 3652147
smartmobility, 3674919
smartmobility, 3719419
smartmobility, 3757147
smartmobility, 3759314
smartmobility, 3829552
smartmobility, 3929706
smartmobility, 4041162
smartmobility, 4072927
smartmobility, 4112724
smartmobility, 4134698
smartmobility, 4165089
smartmobility, 4195458
smartmobility, 4217206
smartmobility, 4277031
smartmobility, 4319507
smartmobility, 4353559
smartmobility, 4435808
smartmobility, 4461175
smartmobility, 4474714
smartmobility, 4511783
smartmobility, 4562320
smartmobility, 4562550
smartmobility, 4601395
smartmobility, 4612463
smartmobility, 5009796
smartmobility, 5061739
smartmobility, 5073352
smartmobility, 5096264
smartmobility, 5144340
smartmobility, 5155994
smartmobility, 5284914
smartmobility, 5337994
smartmobility, 5353472
smartmobility, 5413013
smartmobility, 5439266
smartmobility, 5442173
smartmobility, 5474760
smartmobility, 5476320
smartmobility, 5527347
smartmobility, 5534033
smartmobility, 5560344
smartmobility, 5564869
smartmobility, 5650304
smartmobility, 5665744
smartmobility, 5672892
smartmobility, 5734710
smartmobility, 5760644
smartmobility, 5802246
smartmobility, 5883137
smartmobility, 5915397
smartmobility, 5970515
smartmobility, 5996492
smartmobility, 6037172
smartmobility, 6080372
smartmobility, 6117168
smartmobility, 6130730
smartmobility, 6424558
smartmobility, 6441255
smartmobility, 6475818
smartmobility, 6488551
smartmobility, 6528612
smartmobility, 6599714
