Test, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
itsecurity, 1, 0, 10, 15, 300000, 116983, 6766, 1802, 645, 337, 274, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 600000, 128162, 6766, 3169, 1370, 1273, 564, 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 900000, 174296, 6766, 4843, 3052, 4362, 1620, 2430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 1200000, 156686, 6766, 6105, 3891, 6467, 2028, 3510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 1500000, 147381, 6766, 7667, 4899, 8256, 2521, 4545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 1800000, 125616, 6766, 8650, 5134, 8915, 2610, 4860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 2100000, 107758, 6766, 9972, 5495, 9150, 2858, 4986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 2400000, 104020, 6766, 11002, 5602, 9159, 2858, 4986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 2700000, 104805, 6766, 12266, 5602, 9159, 2858, 4986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
itsecurity, 1, 0, 10, 15, 3000000, 105838, 6766, 13010, 5733, 9159, 2858, 4986, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
