Test, Nodes, Edges, Algorithm, TimeWindow, PatternFamily, PatternGroup, 123,213,133,313,233,323
datamining,7453,10748,3,5000,121122,3,8,0,81,9,12,2397
datamining,7453,10748,3,5000,122132,2,140,6,140,6,111,111
datamining,7453,10748,3,5000,124134,1,155,5,155,5,366,366
datamining,7453,10748,3,10000,121322,8,7077,8,8,85,15,5319
datamining,7453,10748,3,10000,121232,7,8,3,41,0,84,5
datamining,7453,10748,3,10000,121312,6,132,0,0,0,0,100
datamining,7453,10748,3,10000,121132,5,159,2,123,1,235,263
datamining,7453,10748,3,10000,121212,4,0,0,0,7,1,9
datamining,7453,10748,3,10000,121122,3,20,0,126,29,20,5035
datamining,7453,10748,3,10000,122132,2,201,6,201,6,172,172
datamining,7453,10748,3,10000,124134,1,223,5,223,5,457,457
datamining,7453,10748,3,30000,121322,8,8371,8,16,115,20,6929
datamining,7453,10748,3,30000,121232,7,17,3,83,0,296,7
datamining,7453,10748,3,30000,121312,6,211,0,0,0,0,143
datamining,7453,10748,3,30000,121132,5,277,2,243,1,330,392
datamining,7453,10748,3,30000,121212,4,0,0,0,7,1,9
datamining,7453,10748,3,30000,121122,3,40,0,221,55,40,6482
datamining,7453,10748,3,30000,122132,2,295,6,295,6,232,232
datamining,7453,10748,3,30000,124134,1,323,5,323,5,650,650
datamining,7453,10748,3,60000,121322,8,14047,8,72,186,28,10326
datamining,7453,10748,3,60000,121232,7,80,3,212,0,663,15
datamining,7453,10748,3,60000,121312,6,354,0,0,27,0,251
datamining,7453,10748,3,60000,121132,5,1015,3,754,0,529,606
datamining,7453,10748,3,60000,121212,4,0,0,0,10,1,12
datamining,7453,10748,3,60000,121122,3,176,0,719,156,124,10473
datamining,7453,10748,3,60000,122132,2,764,6,764,6,354,354
datamining,7453,10748,3,60000,124134,1,792,5,792,5,866,866
datamining,7453,10748,3,120000,121322,8,38043,8,187,276,39,24193
datamining,7453,10748,3,120000,121232,7,180,3,467,0,1039,25
datamining,7453,10748,3,120000,121312,6,673,0,0,76,0,452
datamining,7453,10748,3,120000,121132,5,2591,2,2259,1,872,932
datamining,7453,10748,3,120000,121212,4,0,0,0,10,1,14
datamining,7453,10748,3,120000,121122,3,523,0,2123,296,269,22959
datamining,7453,10748,3,120000,122132,2,1623,6,1623,6,504,504
datamining,7453,10748,3,120000,124134,1,1647,5,1647,5,1183,1183
datamining,7453,10748,3,300000,121322,8,86368,55,432,543,115,61951
datamining,7453,10748,3,300000,121232,7,362,2,1317,2,1623,100
datamining,7453,10748,3,300000,121312,6,1117,59,1,259,1,870
datamining,7453,10748,3,300000,121132,5,7495,4,7818,5,1516,1742
datamining,7453,10748,3,300000,121212,4,1,0,2,20,6,35
datamining,7453,10748,3,300000,121122,3,2153,0,8003,511,661,82415
datamining,7453,10748,3,300000,122132,2,2685,12,2685,12,664,664
datamining,7453,10748,3,300000,124134,1,2701,11,2701,11,1623,1623
datamining,7453,10748,3,600000,121322,8,115622,55,648,736,131,86720
datamining,7453,10748,3,600000,121232,7,544,5,1948,2,2011,112
datamining,7453,10748,3,600000,121312,6,1673,59,1,450,1,1071
