Dataset,time
smartdevices, 5
smartdevices, 4
smartdevices, 22
smartdevices, 1
smartdevices, 7
smartdevices, 3
smartdevices, 5
smartdevices, 8
smartdevices, 1
smartdevices, 1
smartdevices, 1
smartdevices, 6
smartdevices, 15
smartdevices, 16
smartdevices, 2
smartdevices, 9
smartdevices, 0
smartdevices, 1
smartdevices, 5
smartdevices, 13
smartdevices, 0
smartdevices, 2
smartdevices, 38
smartdevices, 7
smartdevices, 1
smartdevices, 3
smartdevices, 2
smartdevices, 13
smartdevices, 0
smartdevices, 6
smartdevices, 1
smartdevices, 10
smartdevices, 3
smartdevices, 6
smartdevices, 19
smartdevices, 7
smartdevices, 7
smartdevices, 16
smartdevices, 14
smartdevices, 4
smartdevices, 13
smartdevices, 1
smartdevices, 29
smartdevices, 14
smartdevices, 9
smartdevices, 33
smartdevices, 336
smartdevices, 9
smartdevices, 1
smartdevices, 9
smartdevices, 21
smartdevices, 10
smartdevices, 2
smartdevices, 25
smartdevices, 31
smartdevices, 24
smartdevices, 0
smartdevices, 3
smartdevices, 1
smartdevices, 1
smartdevices, 4
smartdevices, 8
smartdevices, 1
smartdevices, 3
smartdevices, 5
smartdevices, 1
smartdevices, 1
smartdevices, 2
smartdevices, 2
smartdevices, 1
smartdevices, 15
smartdevices, 7
smartdevices, 20
smartdevices, 25
smartdevices, 20
smartdevices, 1
smartdevices, 3
smartdevices, 0
smartdevices, 4
smartdevices, 5
smartdevices, 0
smartdevices, 2
smartdevices, 0
smartdevices, 5
smartdevices, 0
smartdevices, 14
smartdevices, 449
smartdevices, 215
smartdevices, 60
smartdevices, 96
smartdevices, 144
smartdevices, 96
smartdevices, 201
smartdevices, 3894
smartdevices, 24
smartdevices, 113
smartdevices, 183
smartdevices, 1
smartdevices, 13
smartdevices, 1
smartdevices, 4
smartdevices, 15
smartdevices, 5
smartdevices, 7
smartdevices, 14
smartdevices, 12
smartdevices, 24
smartdevices, 10
smartdevices, 16
smartdevices, 1
smartdevices, 4
smartdevices, 3
smartdevices, 14
smartdevices, 3
smartdevices, 10
smartdevices, 1
smartdevices, 1
smartdevices, 8
smartdevices, 3
smartdevices, 6
smartdevices, 2
smartdevices, 3
smartdevices, 3
smartdevices, 0
smartdevices, 1
smartdevices, 1
smartdevices, 1
smartdevices, 1
smartdevices, 2
smartdevices, 4
smartdevices, 2
smartdevices, 1
smartdevices, 4
smartdevices, 4
smartdevices, 4
smartdevices, 0
smartdevices, 1
smartdevices, 12
smartdevices, 0
smartdevices, 2
smartdevices, 1
smartdevices, 7
smartdevices, 1
smartdevices, 10
smartdevices, 1816
smartdevices, 1642
smartdevices, 30
smartdevices, 2975
smartdevices, 350
smartdevices, 2449
smartdevices, 1785
smartdevices, 21
smartdevices, 1381
smartdevices, 1250
smartdevices, 1619
smartdevices, 342
smartdevices, 114
smartdevices, 159
smartdevices, 149
smartdevices, 590
smartdevices, 277
smartdevices, 1262
smartdevices, 264
smartdevices, 0
smartdevices, 638
smartdevices, 2
smartdevices, 18
smartdevices, 658
smartdevices, 805
smartdevices, 47
smartdevices, 3094
smartdevices, 747
smartdevices, 686
smartdevices, 1952
smartdevices, 335
smartdevices, 581
smartdevices, 91
smartdevices, 1043
smartdevices, 3547
smartdevices, 2522
smartdevices, 483
smartdevices, 184
smartdevices, 1793
smartdevices, 165
smartdevices, 117
smartdevices, 16
smartdevices, 31
